date,strike_price,tau,option_type,spot,market_delta,market_gamma,market_theta,market_vega,bs_delta,bs_gamma,bs_vega,bs_theta,heston_delta,heston_gamma,heston_vega,heston_theta,merton_delta,merton_gamma,merton_vega,merton_theta
2025-08-18,5000.0,0.0876712328767123,put,6449.15,-0.009688,3.6e-05,-108.5664,48.72421,-0.011047577518679286,4.190600216474362e-05,24.011326753962024,127.16156192737,-7.605481904166541e-09,4.5602836402664884e-11,1.8084958434419552e-05,-5.391110499651099e-06,-0.01153163228237199,4.3169412613893925e-05,25.45656160057712,132.84407739944717
2025-08-18,5000.0,0.0876712328767123,put,6449.15,-0.009688,3.6e-05,-108.5664,48.72421,-0.011075597545481332,4.1999999697750995e-05,24.061982705771044,127.47800415498277,1.726531475297967e-09,-1.136673450440083e-11,1.463833752469744e-05,-4.773633019430756e-06,-0.011560461683962981,4.3265110170603055e-05,25.509298515180223,133.1710823917321
2025-08-18,5500.0,0.0876712328767123,put,6449.15,-0.023507,0.000103,-169.7385,104.3057,-0.025442513122237182,0.00011474942537094894,35.671519542059556,188.41383236266722,8.181425848010139e-05,-4.986433071555153e-07,-0.04522907624410084,0.00529308120069047,-0.026065732841320202,0.00011681326908867175,37.09469768954756,193.8105594910544
2025-08-18,5500.0,0.0876712328767123,put,6449.15,-0.023507,0.000103,-169.7385,104.3057,-0.02550109806985867,0.00011496794482701041,35.73667992973268,188.86412106483758,9.699023968192497e-05,-5.90728500429871e-07,-0.06119715426353177,0.005610320849753377,-0.026125211384123694,0.00011703417093743759,37.16162854737881,194.27111726455314
2025-08-18,5600.0,0.0876712328767123,put,6449.15,-0.028702,0.000131,-185.5329,123.2653,-0.029615032934570466,0.00013919491530297942,37.384333969731905,197.0344710503045,0.006299437458809588,-3.817218701948468e-05,-7.586126505527185,0.33443470031954775,-0.030246146711882624,0.00014144015774022762,38.74264573620829,202.17258916320353
2025-08-18,5600.0,0.0876712328767123,put,6449.15,-0.028702,0.000131,-185.5329,123.2653,-0.029683053703129444,0.0001394642022173992,37.45372432893923,197.52281256381,0.006683686876817993,-4.047630986450399e-05,-8.49939969899086,0.31897976770333836,-0.03031518604859269,0.00014171237073320957,38.813921207927926,202.6717460014086
2025-08-18,5650.0,0.0876712328767123,put,6449.15,-0.031975,0.000148,-194.7975,134.8023,-0.03228732702968632,0.00015490220390979305,38.54509214479673,202.88082351506324,0.012650089708307142,-7.665121951977415e-05,-15.29863270426969,0.6704324252655935,-0.03292428649287039,0.00015725931295437534,39.8750472858576,207.91191513798364
2025-08-18,5650.0,0.0876712328767123,put,6449.15,-0.031975,0.000148,-194.7975,134.8023,-0.032365965849275945,0.00015521666821026727,38.6202093317932,203.40953937245044,0.013409351728966927,-8.120276235112736e-05,-17.127620436952974,0.6387683947494935,-0.03300397445074779,0.00015757705710634951,39.95208413716984,208.45170312657748
2025-08-18,5675.0,0.0876712328767123,put,6449.15,-0.033892,0.000159,-200.2658,141.4292,-0.039860326847755895,0.0001904571892629186,45.11958867091996,237.32718908517066,0.015825415833055922,-9.58907357699189e-05,-19.15488580364093,0.8384312877385749,-0.04058974198124766,0.00019332986371055312,46.62256759910122,243.06847570778902
2025-08-18,5675.0,0.0876712328767123,put,6449.15,-0.033892,0.000159,-200.2658,141.4292,-0.03995751779057101,0.00019083812226673252,45.206127277887816,237.9454216520227,0.016772184155041392,-0.00010156598859443903,-21.441730805934032,0.7986627082725464,-0.04068813317260383,0.00019371511245273507,46.71130582787786,243.69961292003327
2025-08-18,5700.0,0.0876712328767123,put,6449.15,-0.035883,0.00017,-205.4458,148.2137,-0.03554474706536052,0.00017401981769374505,40.052812030657314,210.49799881505524,0.0190007419578047,-0.00011513025202006364,-23.011138903012167,1.0064301502116209,-0.03618982233284997,0.00017650843000830785,41.359491148955385,215.44625197772177
2025-08-18,5700.0,0.0876712328767123,put,6449.15,-0.035883,0.00017,-205.4458,148.2137,-0.03563649085955699,0.00017438943345064574,40.134514366377694,211.07365177061746,0.020135016581115873,-0.0001219292148377508,-25.755841174915062,0.958557021795624,-0.036282649394505546,0.00017688179398702244,41.443158805859426,216.03333199992665
2025-08-18,5750.0,0.0876712328767123,put,6449.15,-0.040488,0.000195,-217.128,163.5542,-0.039331735193731183,0.00019674476765642465,41.77368551297702,219.15703926545132,0.02535139420730222,-0.00015360928452035292,-30.723645101754645,1.3424278751576142,-0.03998692357136088,0.00019938731806154152,43.0597897075974,224.0395703308605
2025-08-18,5750.0,0.0876712328767123,put,6449.15,-0.040488,0.000195,-217.128,163.5542,-0.039439536920383204,0.00019718150348174213,41.8627757978256,219.78552088890828,0.02686068143326478,-0.000162655667324374,-34.38406191287718,1.2783456488417606,-0.04009584870890557,0.00019982843518644156,43.15090375431074,224.67994778993085
2025-08-18,5775.0,0.0876712328767123,put,6449.15,-0.043123,0.000209,-223.5097,172.12,-0.04928050288826547,0.00024506589589782515,49.381305870639025,258.75101027277276,0.028526720332051052,-0.00017284880077049795,-34.579898201125914,1.5104267376306233,-0.05004398885719503,0.0002484089899520068,50.85956097578048,264.4540953968371
2025-08-18,5775.0,0.0876712328767123,put,6449.15,-0.043123,0.000209,-223.5097,172.12,-0.049399885704853735,0.0002455595369578084,49.476686075886,259.45086725853776,0.030223513859339246,-0.0001830188935676857,-38.698172281858184,1.4382399623648103,-0.05016479161795834,0.0002489083413737548,50.95737016495541,265.16811860069384
2025-08-18,5800.0,0.0876712328767123,put,6449.15,-0.046056,0.000225,-230.5159,181.4897,-0.04449857037362494,0.00022620410971325276,44.219415813289494,231.51528882540723,0.031702046456799804,-0.00019208831702064252,-38.43615130049718,1.6784256001036817,-0.045163537001343235,0.00022904364728718935,45.48940131729804,236.36610937534675
2025-08-18,5800.0,0.0876712328767123,put,6449.15,-0.046056,0.000225,-230.5159,181.4897,-0.04461163208454081,0.00022668421383633744,44.30953927717409,232.1687685482413,0.033586346285413717,-0.0002033821198109974,-43.01228265083924,1.5981342758879034,-0.04527786352593164,0.00022952865258113724,45.58167244385114,237.032011387854
2025-08-18,6000.0,0.0876712328767123,put,6449.15,-0.08583,0.000429,-312.6748,294.5742,-0.09266482891800935,0.0004725578624083499,66.16936835434419,341.6298403175276,0.36068482736139085,-0.0019479632635249849,-4837.683701378255,68.83804262455841,-0.09344410203781416,0.00047760078271223504,67.54580250257334,347.3953035106183
2025-08-18,6000.0,0.0876712328767123,put,6449.15,-0.08583,0.000429,-312.6748,294.5742,-0.09292325486876725,0.0004735759620135055,66.30602863656864,342.70257368306,0.3669814399470942,-0.0019744758729274853,-5062.458134773663,61.633540658701406,-0.0937043173945362,0.00047863231268269825,67.68541683533282,348.48620943217526
