lambda_jump,jump_mean,jump_std,scheme,N_S,N_t,rows_used,rows_failed,mae,mse,rmse
0.0,0.0,0.01,imex_euler,120,400,60,0,1.3992399354871827,3.8938154690147897,1.9732753150573767
0.0001,0.0,0.01,imex_euler,120,400,60,0,1.3992398947286666,3.8938206195501106,1.9732766201296033
0.0001,-0.005,0.01,imex_euler,120,400,60,0,1.3992399291939317,3.893821932921005,1.973276952918927
0.0001,-0.01,0.01,imex_euler,120,400,60,0,1.3992399974358216,3.893825823387288,1.9732779387068837
0.0001,0.0,0.02,imex_euler,120,400,60,0,1.3992400088435388,3.8938358280994625,1.9732804737541652
0.0001,-0.005,0.02,imex_euler,120,400,60,0,1.3992401456987373,3.893837245323332,1.9732808328576377
0.0001,-0.01,0.02,imex_euler,120,400,60,0,1.3992403209152129,3.8938411925271113,1.973281833020086
0.0001,-0.02,0.01,imex_euler,120,400,60,0,1.3992403094451649,3.8938413627491673,1.9732818761517998
0.0001,-0.02,0.02,imex_euler,120,400,60,0,1.3992408561131764,3.893856707650365,1.97328576431554
0.0001,0.0,0.03,imex_euler,120,400,60,0,1.399240270687429,3.8938605996311946,1.9732867504828573
0.0001,-0.005,0.03,imex_euler,120,400,60,0,1.399240568440952,3.8938622225787665,1.973287161712346
0.0001,-0.01,0.03,imex_euler,120,400,60,0,1.3992409081795867,3.8938662661206376,1.973288186282135
0.0001,-0.02,0.03,imex_euler,120,400,60,0,1.3992417919722901,3.8938817879801024,1.9732921192717774
0.0001,0.0,0.05,imex_euler,120,400,60,0,1.3992416958993135,3.8939363786194714,1.9733059515998708
0.0001,-0.005,0.05,imex_euler,120,400,60,0,1.3992424336740283,3.893938556917996,1.9733065035412
0.0001,-0.01,0.05,imex_euler,120,400,60,0,1.3992432428725623,3.8939430509605484,1.973307642249568
0.0001,-0.02,0.05,imex_euler,120,400,60,0,1.3992451285276333,3.8939590862805824,1.9733117053016693
0.005,0.0,0.01,imex_euler,120,400,60,0,1.3992378975930662,3.894073057757089,1.973340583314773
0.005,-0.005,0.01,imex_euler,120,400,60,0,1.3992396208493334,3.894138758090772,1.973357230227404
0.01,0.0,0.01,imex_euler,120,400,60,0,1.399235859767746,3.8943307730234205,1.9734058814707685
0.005,-0.01,0.01,imex_euler,120,400,60,0,1.3992430329533831,3.8943334204075883,1.9734065522359017
0.01,-0.005,0.01,imex_euler,120,400,60,0,1.3992393062647892,3.8944622385434333,1.97343919048534
0.005,0.0,0.02,imex_euler,120,400,60,0,1.3992436038232452,3.8948343546645106,1.9735334693550324
0.01,-0.01,0.01,imex_euler,120,400,60,0,1.399246130491053,3.8948518468343662,1.973537901038226
0.005,-0.005,0.02,imex_euler,120,400,60,0,1.3992504464105833,3.8949053147408095,1.973551447198884
0.005,-0.01,0.02,imex_euler,120,400,60,0,1.3992592071344894,3.8951030469461325,1.9736015420915471
0.005,-0.02,0.01,imex_euler,120,400,60,0,1.3992586334691477,3.895111562999347,1.9736036995808828
0.01,0.0,0.02,imex_euler,120,400,60,0,1.3992472732170762,3.8958551411228943,1.9737920714003525
0.005,-0.02,0.02,imex_euler,120,400,60,0,1.3992859669669597,3.8958809151569658,1.9737986004547083
0.01,-0.005,0.02,imex_euler,120,400,60,0,1.3992609580434676,3.8959972631107145,1.973828073341423
0.005,0.0,0.03,imex_euler,120,400,60,0,1.3992566982434207,3.896076590465104,1.9738481680375275
0.005,-0.005,0.03,imex_euler,120,400,60,0,1.3992715853448279,3.8961579228093464,1.9738687704123965
0.005,-0.01,0.03,imex_euler,120,400,60,0,1.3992885719911399,3.8963608306565987,1.97392016825823
0.01,-0.01,0.02,imex_euler,120,400,60,0,1.3992784792863888,3.8963934867417955,1.9739284401268946
0.01,-0.02,0.01,imex_euler,120,400,60,0,1.3992773316213587,3.896410528917323,1.9739327569391323
0.005,-0.02,0.03,imex_euler,120,400,60,0,1.3993327619566032,3.8971405643256105,1.9741176672948375
0.01,-0.02,0.02,imex_euler,120,400,60,0,1.3993319988177175,3.8979535334520397,1.9743235635153726
0.01,0.0,0.03,imex_euler,120,400,60,0,1.3992734666026285,3.8983470802450495,1.9744232272349942
0.01,-0.005,0.03,imex_euler,120,400,60,0,1.3993032396302023,3.8985101224956584,1.974464515380223
0.01,-0.01,0.03,imex_euler,120,400,60,0,1.3993372123432406,3.898917429595029,1.974567656373169
0.005,0.0,0.05,imex_euler,120,400,60,0,1.3993279799483227,3.8998948243578524,1.9748151367552995
0.005,-0.005,0.05,imex_euler,120,400,60,0,1.3993648681751594,3.9000042122406273,1.9748428322883387
0.005,-0.01,0.05,imex_euler,120,400,60,0,1.3994053288230044,3.900230861043423,1.9749002154649289
0.01,-0.02,0.03,imex_euler,120,400,60,0,1.3994255929538608,3.900484327345472,1.974964386348643
0.005,-0.02,0.05,imex_euler,120,400,60,0,1.3994996174770138,3.901041557184371,1.9751054546996651
0.01,0.0,0.05,imex_euler,120,400,60,0,1.3994160730962077,3.906043310038882,1.9763712480298032
0.01,-0.005,0.05,imex_euler,120,400,60,0,1.3994898485159224,3.9062630530305267,1.976426839787025
0.01,-0.01,0.05,imex_euler,120,400,60,0,1.3995707712799441,3.9067203258179424,1.9765425180900973
0.01,-0.02,0.05,imex_euler,120,400,60,0,1.399759360635045,3.9083599502555217,1.9769572454293294
